key,R,adam,best,alpha_best,rho_best,kappa_best,alpha_det,aGN,L0
"('grid3', 7, 1750)",0.7092996998052444,132192.1395844619,0.5322696925530632,30,0.5,10.0,10,7.202476308222291,5.739489121083478e-12
"('grid3', 7, 1800)",0.5023421758005711,900654.9383478151,0.4818836939328365,5,0.5,5.0,20,-14.530181012994413,1.724626859664597e-13
"('grid3', 7, 1850)",0.4859095892352195,28.694691206614234,0.4581437286903496,0,0.5,5.0,30,-16.19728300364301,5.398240866418656e-13
"('grid3', 7, 1900)",0.7487291486177471,119927.89636341979,0.46177936182019763,30,0.5,5.0,5,-13.27955956825917,3.30684978527439e-13
"('grid3', 7, 1940)",0.9645441175304862,54420814.11565807,0.4886634996227876,20,0.5,5.0,30,37.601368010507095,5.27294820355337e-09
"('grid3', 7, 1950)",0.9466789309220994,122472576.04766627,0.5079134064887314,30,0.5,inf,-10,32.69276184265947,3.468409123621823e-07
"('grid3', 7, 1960)",0.9414848677460192,1653372096.8963628,0.9095288672188331,30,0.5,inf,-10,33.70024354802444,4.539291129841123e-05
"('wave', 0, 0)",0.1795473182728982,1.1699765524784858,1.1427026565602625,30,0.5,5.0,0,8.178250164137385,1.795713280663162
"('wave', 0, 50)",0.5308665713331431,0.967961343979842,0.8643225958552331,-30,0.5,5.0,30,8.263037507453294,0.7695327242606683
"('wave', 0, 100)",0.7344039988357814,0.7531546993502726,0.2911247678636363,30,0.5,10.0,30,-13.879827298945429,0.15149384131604188
"('wave', 0, 140)",0.9142709605882963,0.39214166918022075,0.02156220535074704,20,0.5,5.0,30,24.482693826952858,0.0032958404953430205
"('wave', 0, 150)",0.7793753613527884,0.10234842816767734,0.0031683866550264194,-5,0.5,5.0,10,-10.406543561653372,0.0007359406105893549
"('wave', 0, 180)",0.9731755482736762,0.07785013352187366,4.200797112749058e-05,30,0.5,5.0,30,-3.1293692017025796,1.54956343118259e-05
"('wave', 0, 200)",0.80640069431928,0.0023258270463045157,2.3461084247977607e-05,10,0.5,5.0,10,-5.928998261955389,7.92610209388654e-06
"('wave', 0, 250)",0.7854856517581238,0.0007954847897646599,9.836477104479326e-08,-20,0.5,5.0,-30,-5.80150814304456,2.38677682328926e-08
"('wave', 0, 300)",0.7445390454555634,6.036853331006642e-07,2.6490417551215366e-10,-15,0.5,5.0,-15,-6.979082653358176,6.776424982383526e-11
"('wave', 0, 320)",0.891526063903587,1.0922248878085141e-05,6.055844378891863e-10,-20,0.5,5.0,-20,22.491585530987326,2.337934450227737e-11
"('wave', 0, 350)",0.7077641003858368,1.303767300688983e-07,6.880785833489932e-12,-10,0.5,5.0,30,-9.819668394812975,3.475901243794234e-13
"('wave', 0, 400)",0.19305795538954462,1.1815049276871019e-13,1.901472913869355e-14,5,0.5,5.0,0,73.78278313365979,2.1761477323580954e-14
"('wave', 0, 450)",0.27956882240767444,9.835015137999664e-14,2.058548971806088e-14,0,0.5,10.0,5,-117.69251853836263,2.331355937015196e-14
"('wave', 0, 500)",0.20098055664320208,5.80397148676352e-14,1.916385833511312e-14,5,0.5,inf,0,-35.195559924300916,2.1704003802482574e-14
"('wave', 0, 550)",0.24747825444895669,3.8482576433357665e-13,3.665155855293066e-14,-5,0.5,50.0,0,56.05617279841065,2.0157594707906415e-14
"('wave', 0, 600)",0.2140716270953805,3.138226891365042e-13,3.519256986571555e-14,0,0.5,20.0,0,61.48979577450749,2.5277259026485505e-14
"('wave', 0, 650)",0.24889406287622196,3.905471948599963e-13,3.519256986571555e-14,0,0.5,20.0,0,56.39329103355538,2.0008079697582936e-14
"('wave', 0, 700)",0.21224551481270829,1.4161834794695435e-12,3.505882420093064e-14,0,0.5,10.0,5,60.853206955753855,2.536975334486779e-14
"('wave', 0, 750)",0.22361810666565077,6.316559630884359e-13,3.805825194917403e-14,0,0.5,5.0,0,52.32457784359209,2.1990506347701113e-14
"('wave', 0, 800)",0.3011482018769362,2.4142194650582633e-13,3.1760207274020115e-14,10,0.5,20.0,0,46.299727080475094,2.261004570956101e-14
"('wave', 0, 850)",0.2351298366654204,2.3082146251644156e-12,6.170638078323541e-14,5,0.5,10.0,5,-33.350824283264956,3.332264208708591e-14
"('wave', 0, 900)",0.24351603601155186,6.746543252697705e-11,3.169738873741693e-14,5,0.5,5.0,10,59.022903358013636,3.053723620703496e-14
"('wave', 0, 950)",0.22361810666565074,5.085292626660036e-12,1.0386236980971322e-13,5,0.5,5.0,0,53.835467062709,2.1990506347701113e-14
"('wave', 0, 1000)",0.2451884950481116,5.39938808024882e-11,1.0055797898364633e-13,5,0.5,50.0,5,45.54480991126788,1.876566086904076e-14
"('wave', 0, 1050)",0.1946174130979188,1.7597522174891027e-10,6.522462719049291e-14,0,0.5,5.0,5,51.28236897512037,2.7107345903168528e-14
"('wave', 0, 1100)",0.2124165527433671,6.35323243777257e-13,3.150505052643048e-14,0,0.5,20.0,0,147.27333109264487,1.9528994733656344e-14
"('wave', 0, 1150)",0.3140116229736713,1.2781756016115421e-12,5.848314303826597e-14,0,0.5,inf,0,43.263749162518096,2.0314071539777124e-14
"('wave', 0, 1200)",0.27860576318938285,1.4840989050603495e-08,4.5852989199259285e-14,15,0.5,5.0,10,41.43873899329755,2.331355937015196e-14
